Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,Url
2023,Barcelona,La Liga,Iñaki Peña,ESP,GK,23,1999,0.8,27,22,5,1,0,0,0,0,0,0,0,0,25,0,0,https://fbref.com/en/players/cc1c5035/Inaki-Pena
2023,Barcelona,La Liga,Gerard Piqué,ESP,DF,35,1987,4.3,385,372,11,6,0,6,0,0,0,0,0,0,353,2,2,https://fbref.com/en/players/adfc9123/Gerard-Pique
2023,Barcelona,La Liga,Raphinha,BRA,FW,25,1996,23,1266,1072,185,35,12,26,172,42,108,44,35,1,915,9,30,https://fbref.com/en/players/3423f250/Raphinha
2023,Barcelona,La Liga,Chadi Riad,MAR,MF,19,2003,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,https://fbref.com/en/players/b3b9b8b8/Chadi-Riad
2023,Barcelona,La Liga,Sergi Roberto,ESP,"DF,MF",30,1992,14.5,936,842,91,16,1,7,25,75,0,0,0,0,850,3,10,https://fbref.com/en/players/335fa267/Sergi-Roberto
2023,Barcelona,La Liga,Marc-André ter Stegen,GER,GK,30,1992,37.2,1412,1145,267,69,0,6,0,1,0,0,0,0,1193,0,0,https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen
2023,Barcelona,La Liga,Pablo Torre,ESP,"FW,MF",19,2003,1.6,98,87,9,3,2,0,8,0,6,1,4,0,77,2,1,https://fbref.com/en/players/04e531b6/Pablo-Torre
2023,Barcelona,La Liga,Ferrán Torres,ESP,"FW,MF",22,2000,15.5,576,533,41,8,1,3,60,9,21,10,6,0,437,2,15,https://fbref.com/en/players/9e1035f8/Ferran-Torres
2023,Barcelona,La Liga,Lamine Yamal,ESP,FW,15,2007,0.1,9,9,0,0,1,0,1,0,0,0,0,0,8,0,0,https://fbref.com/en/players/82ec26c1/Lamine-Yamal
2023,Betis,La Liga,Abner,BRA,DF,22,2000,6.7,351,275,75,1,0,2,13,74,0,0,0,0,252,1,15,https://fbref.com/en/players/7f9c5d2d/Abner
