Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Url
2023,Barcelona,La Liga,Pedri,ESP,MF,19,2002,22,39,22,15,17,7,13,45,28.9,32,27,0,27,13,52,8,1,https://fbref.com/en/players/0d9b2d31/Pedri
2023,Barcelona,La Liga,Iñaki Peña,ESP,GK,23,1999,0.8,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,https://fbref.com/en/players/cc1c5035/Inaki-Pena
2023,Barcelona,La Liga,Gerard Piqué,ESP,DF,35,1987,4.3,5,4,1,4,0,4,4,100,0,2,1,1,2,7,19,0,https://fbref.com/en/players/adfc9123/Gerard-Pique
2023,Barcelona,La Liga,Raphinha,BRA,FW,25,1996,23,29,19,10,7,12,11,31,35.5,20,33,1,32,14,43,11,1,https://fbref.com/en/players/3423f250/Raphinha
2023,Barcelona,La Liga,Chadi Riad,MAR,MF,19,2003,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,https://fbref.com/en/players/b3b9b8b8/Chadi-Riad
2023,Barcelona,La Liga,Sergi Roberto,ESP,"DF,MF",30,1992,14.5,22,15,12,6,4,7,18,38.9,11,15,7,8,11,33,16,0,https://fbref.com/en/players/335fa267/Sergi-Roberto
2023,Barcelona,La Liga,Marc-André ter Stegen,GER,GK,30,1992,37.2,0,0,0,0,0,0,0,NA,0,0,0,0,1,1,7,3,https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen
2023,Barcelona,La Liga,Pablo Torre,ESP,"FW,MF",19,2003,1.6,2,1,0,1,1,2,4,50,2,1,0,1,2,4,1,0,https://fbref.com/en/players/04e531b6/Pablo-Torre
2023,Barcelona,La Liga,Ferrán Torres,ESP,"FW,MF",22,2000,15.5,13,7,4,5,4,5,20,25,15,11,2,9,3,16,5,0,https://fbref.com/en/players/9e1035f8/Ferran-Torres
2023,Barcelona,La Liga,Lamine Yamal,ESP,FW,15,2007,0.1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,https://fbref.com/en/players/82ec26c1/Lamine-Yamal
2023,Betis,La Liga,Abner,BRA,DF,22,2000,6.7,12,9,9,2,1,7,16,43.8,9,8,2,6,8,20,24,0,https://fbref.com/en/players/7f9c5d2d/Abner
2023,Betis,La Liga,Paul Akouokou,CIV,"MF,DF",24,1997,5,16,9,13,3,0,13,20,65,7,2,2,0,12,28,17,1,https://fbref.com/en/players/31f5b89b/Paul-Akouokou
2023,Betis,La Liga,Claudio Bravo,CHI,GK,39,1983,12,0,0,0,0,0,0,0,NA,0,0,0,0,2,2,1,1,https://fbref.com/en/players/10072610/Claudio-Bravo
2023,Betis,La Liga,Sergio Canales,ESP,"FW,MF",31,1991,26.7,25,14,10,8,7,14,33,42.4,19,18,0,18,14,39,8,0,https://fbref.com/en/players/a6de370d/Sergio-Canales
2023,Betis,La Liga,William Carvalho,POR,MF,30,1992,27.1,43,27,18,23,2,17,44,38.6,27,27,6,21,16,59,22,0,https://fbref.com/en/players/dee86451/William-Carvalho
2023,Betis,La Liga,Juan Cruz,ESP,FW,22,2000,2,1,0,0,1,0,1,3,33.3,2,1,0,1,0,1,0,0,https://fbref.com/en/players/cc2dd8a5/Juan-Cruz
2023,Betis,La Liga,Fran Delgado,ESP,DF,21,2001,0.1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,https://fbref.com/en/players/e7d2a50b/Fran-Delgado
2023,Betis,La Liga,Nabil Fekir,FRA,MF,29,1993,10.7,11,5,3,3,5,2,9,22.2,7,6,2,4,1,12,0,0,https://fbref.com/en/players/bece776f/Nabil-Fekir
2023,Betis,La Liga,Luiz Felipe,ITA,DF,25,1997,19.6,34,23,23,11,0,18,34,52.9,16,43,24,19,28,62,106,0,https://fbref.com/en/players/15d0c248/Luiz-Felipe
2023,Betis,La Liga,Felix Garreta,ESP,DF,18,2004,1,1,0,0,1,0,0,0,NA,0,1,1,0,1,2,4,0,https://fbref.com/en/players/9a26fa06/Felix-Garreta
2023,Betis,La Liga,Édgar González,ESP,DF,25,1997,19.7,28,19,18,7,3,14,27,51.9,13,12,9,3,21,49,120,0,https://fbref.com/en/players/49d028db/Edgar-Gonzalez
2023,Betis,La Liga,Roberto González,ESP,"FW,MF",21,2001,0.6,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,https://fbref.com/en/players/56545648/Roberto-Gonzalez
2023,Betis,La Liga,Andrés Guardado,MEX,MF,35,1986,15.3,41,25,17,20,4,18,43,41.9,25,14,5,9,23,64,29,0,https://fbref.com/en/players/ef322658/Andres-Guardado
2023,Betis,La Liga,Luiz Henrique,BRA,FW,21,2001,20.1,48,34,27,15,6,20,44,45.5,24,22,0,22,14,62,17,0,https://fbref.com/en/players/8059806f/Luiz-Henrique
2023,Betis,La Liga,Borja Iglesias,ESP,FW,29,1993,26.3,8,4,3,3,2,2,13,15.4,11,9,1,8,1,9,17,0,https://fbref.com/en/players/75645f0e/Borja-Iglesias
2023,Betis,La Liga,Joaquín,ESP,"MF,FW",41,1981,5.5,3,3,2,1,0,1,3,33.3,2,7,2,5,4,7,5,0,https://fbref.com/en/players/4c5b14d2/Joaquin
2023,Betis,La Liga,Willian José,BRA,FW,30,1991,8.1,9,6,6,3,0,4,9,44.4,5,4,0,4,1,10,15,0,https://fbref.com/en/players/d87e2cae/Willian-Jose
